A	0.0005	0.0025	0.85	1.5	0.01	0.07	0.01	0.02	0.36	0.76	0.15	0.25	4.5	7.5
B	0.0005	0.0015	1.1	1.4	0.025	0.035	0.005	0.015	0.33	0.39	0.15	0.25	6	10
C	0.004	0.01	0.7	1.1	0.006	0.01	0.035	0.045	0.4	0.8	-0.6	-0.1	0.34	0.54
Ci	0.005	0.006	0.4	0.8	0.013	0.017	0.041	0.042	0.5	0.6	-0.04	-0.02	0.8	1
Cz	0.004	0.0065	0.5	0.7	0.14	0.21	0.03	0.04	0.5	0.65	0.003	0.04	1	1.5
D	0.004	0.005	0.9	1.9	0.013	0.019	0.016	0.03	0.6	0.9	0.1	0.25	1.7	4.55
Dz	0.0006	0.0009	1	1.8	0.008	0.015	0.02	0.04	0.8	1	0.08	0.22	1.3	2.75
E	0.0007	0.0015	1	1.5	0.018	0.053	0.01	0.02	0.3	0.8	0.15	0.27	3.5	6.3
F	0.0005	0.0024	2	2.4	0.006	0.04	0.01	0.03	0.3	0.9	0.09	0.24	1.4	7.5
G	0.0005	0.0008	0.8	1.3	0.008	0.01	0.025	0.028	0.8	0.9	0.17	0.22	2	2.4
H	0.001	0.002	0.5	1	0.004	0.009	0.027	0.036	0.75	0.94	0.04	0.15	1.2	2
I	0.0004	0.0007	1.1	1.4	0.01	0.03	0.01	0.02	0.6	0.8	0.24	0.26	3	5
J	0.0006	0.0008	1.26	1.35	0.005	0.015	0.015	0.025	0.815	0.825	0.23	0.28	2.5	3.3
K	0.0015	0.0045	0.3	0.6	0.005	0.01	0.023	0.038	0.06	0.09	0.03	0.15	1.2	3.74
L	0.0004	0.0008	1.3	1.8	0.011	0.03	0.015	0.02	0.5	0.7	0.2	0.25	3	5
Li	0.0004	0.0007	0.6	2.5	0.01	0.02	0.015	0.025	0.52	1	0.21	0.25	2.1	5.5
M	0.0001	0.0006	1.4	2.6	0.005	0.03	0.015	0.03	0.6	1	0.2	0.3	2	4.5
N	0.0001	0.0002	1.4	2.6	0.015	0.023	0.014	0.024	0.5	0.9	0.22	0.3	2	6.5
O	0.0004	0.0013	0.6	1.2	0.02	0.04	0.012	0.017	0.34	0.55	0.15	0.25	4.2	8.5
P	0.0006	0.0008	1	1.15	0.007	0.025	0.012	0.024	0.4	0.75	0.175	0.185	2.6	8.9
R	0.0005	0.003	1.1	2.14	0.007	0.013	0.02	0.022	0.6	0.93	0.17	0.3	2.5	3.8
S	0.0035	0.006	0.8	1.5	0.006	0.01	0.045	0.048	0.64	0.78	-0.12	-0.07	0.42	0.74
Si	0.001	0.005	0.43	1.3	0.01	0.016	0.037	0.043	0.58	0.73	-0.035	0.0000	0.85	1.19
Sz	0.003	0.007	0.6	1.5	0.03	0.045	0.031	0.036	0.5	0.8	-0.03	0.08	0.8	1.5
T	0.001	0.004	0.36	0.94	0.008	0.01	0.027	0.037	0.64	0.74	0.025	0.1	1.27	2.7
U	0.0004	0.0016	0.96	1.33	0.018	0.05	0.009	0.027	0.3	0.9	0.2	0.26	2	13
W	0.0006	0.0009	1.34	1.8	0.02	0.028	0.011	0.02	0.47	0.7	0.23	0.25	4	7.2
Y	0.0003	0.0007	1.34	1.61	0.01	0.04	0.016	0.024	0.57	0.9	0.22	0.24	2.4	2.6
Z	0.00027	0.0009	0.83	1.4	0.009	0.03	0.017	0.034	0.48	0.93	0.018	0.19	1	5.6
Zy	0.0007	0.0013	1.1	1.6	0.008	0.2	0.021	0.023	0.66	0.84	0.14	0.26	2.6	2.7
Zi	0.0004	0.001	1.1	1.3	0.011	0.018	0.028	0.032	0.82	0.83	0.06	0.13	1.5	2.2
